"Phlaocyon,"Phlaocyon yatkolai",18.2,18.2
"Protocyon,"Protocyon orcesi",0.39635000000000004,0.39635000000000004
"Cerdocyon,"Cerdocyon texanus",3.35,7.6000000000000005
"Paratomarctus,"Paratomarctus euthos",9.25,14.1815
"Ectopocynus,"Ectopocynus intermedius",25.615000000000002,25.615000000000002
"Canidae","Canidae",0.06885,35.55
"Hesperocyoninae","Hesperocyoninae",22.615000000000002,28.55
"Xenocyon","Xenocyon",0.4535,1.6845
"Enhydrocyon,"Enhydrocyon stenocephalus",25.615000000000002,25.615000000000002
"Sunkahetanka,"Sunkahetanka geringensis",25.615000000000002,28.55
"Borophagus,"Borophagus diversidens",3.35,3.35
"Leptocyon,"Leptocyon matthewi",9.25,11.95
"Mesocyon,"Mesocyon brachyops",25.615000000000002,25.615000000000002
"Urocyon,"Urocyon galushai",3.35,3.35
"Aelurodon,"Aelurodon mcgrewi",14.1815,14.785
"Canis,"Canis lupus",0.00585,3.0940000000000003
"Lycaon","Lycaon",0.4535,3.0940000000000003
"Eucyon","Eucyon",3.9605,8.470500000000001
"Carpocyon","Carpocyon",14.1815,14.785
"Cormocyon","Cormocyon",28.55,28.55
"Aelurodon,"Aelurodon montanensis",14.785,14.785
"Osbornodon,"Osbornodon sesnoni",25.615000000000002,32.05
"Ectopocynus,"Ectopocynus antiquus",25.615000000000002,32.05
"Dusicyon","Dusicyon",0.00585,1.29985
"Caninae","Caninae",0.06885,25.55
"Chrysocyon","Chrysocyon",1.294,1.294
"Canis,"Canis thooides",3.35,3.35
"Eucyon,"Eucyon davisi",3.35,14.1815
"Chailicyon,"Chailicyon crassidens",42.900000000000006,42.900000000000006
"Urocyon,"Urocyon minicephalus",1.05,1.05
"Leptocyon,"Leptocyon leidyi",14.785,22.615000000000002
"Archaeocyon,"Archaeocyon pavidus",25.615000000000002,32.05
"Phlaocyon,"Phlaocyon mariae",18.2,18.2
"Nyctereutes,"Nyctereutes abdeslami",3.0940000000000003,3.0940000000000003
"Cynarctus","Cynarctus",11.95,14.785
"Cynarctoides,"Cynarctoides gawnae",14.1815,18.2
